data_segment,lookback_window,entry_threshold,exit_threshold,stop_threshold,total_return,annualized_return,sharpe_ratio,maximum_drawdown,number_of_trades,total_cost
test,90,2.5,1.0,3.0,-0.10198354915995356,-0.04897506004847907,-1.0592074543722876,-0.1226416025591649,12,2262.0480482012144
test,90,2.5,1.0,3.5,-0.09565331592055404,-0.0457723756869679,-0.9841688251558017,-0.11645699059002967,9,1894.6958850701728
test,90,2.5,1.0,4.0,-0.09187036087880895,-0.043866960804512134,-0.9412099913432478,-0.11276105899555633,7,1644.1358908873478
test,120,1.5,0.0,3.0,-0.0003268464884269573,0.003769744216052917,0.042163540209762825,-0.12195255833584595,15,3398.008652278788
test,120,1.5,0.0,3.5,0.003419790244119092,0.005625758712222151,0.06237964713446846,-0.11620651937818516,8,2447.189742083411
test,120,1.5,0.0,4.0,0.010976554534527283,0.009235128010641969,0.10219442045467104,-0.11620651937818516,6,2177.658650075089
test,120,1.5,0.5,3.0,-0.010383784447816735,-0.00265545274563761,-0.03884578609483649,-0.08692315223123226,16,3288.703870990464
test,120,1.5,0.5,3.5,-0.0016014463975010385,0.0015997744059850216,0.02315178429112508,-0.08520330836552537,9,2354.2187952445756
test,120,1.5,0.5,4.0,0.005917502910469441,0.005194751061103453,0.07501315101444046,-0.08011239837224593,7,2087.6277712135843
test,120,1.5,1.0,3.0,-0.04174381420552076,-0.01884658553098084,-0.36949451113151244,-0.12439642466782908,18,3368.909903573556
test,120,1.5,1.0,3.5,-0.03323978038898012,-0.014660166289905296,-0.2824573677579566,-0.1166258905195574,11,2439.81756657998
test,120,1.5,1.0,4.0,-0.025959099684878195,-0.011123320260175484,-0.2137609641364461,-0.10997319142940953,9,2176.8005990915226
test,120,2.0,0.0,3.0,-0.0003268464884269573,0.003769744216052917,0.042163540209762825,-0.12195255833584595,15,3398.008652278788
test,120,2.0,0.0,3.5,0.003419790244119092,0.005625758712222151,0.06237964713446846,-0.11620651937818516,8,2447.189742083411
test,120,2.0,0.0,4.0,0.010976554534527283,0.009235128010641969,0.10219442045467104,-0.11620651937818516,6,2177.658650075089
test,120,2.0,0.5,3.0,-0.010383784447816735,-0.00265545274563761,-0.03884578609483649,-0.08692315223123226,16,3288.703870990464
test,120,2.0,0.5,3.5,-0.0016014463975010385,0.0015997744059850216,0.02315178429112508,-0.08520330836552537,9,2354.2187952445756
test,120,2.0,0.5,4.0,0.005917502910469441,0.005194751061103453,0.07501315101444046,-0.08011239837224593,7,2087.6277712135843
test,120,2.0,1.0,3.0,-0.05510208438223374,-0.025514597696754904,-0.52609812127922,-0.12439642466782841,17,3132.182613993503
test,120,2.0,1.0,3.5,-0.04671659838515674,-0.021356517002282693,-0.4320992559748181,-0.11662589051955674,10,2216.041997678237
test,120,2.0,1.0,4.0,-0.03953741172967917,-0.01784361208220575,-0.360053289070774,-0.10997319142940898,8,1956.6915358328997
test,120,2.5,0.0,3.0,-0.015199038504105977,-0.0034820146639111815,-0.039573070131356365,-0.12195255833584617,15,3327.151338095726
test,120,2.5,0.0,3.5,-0.0115081406905303,-0.0016393559230234445,-0.01846685473436255,-0.11620651937818538,8,2390.477812674253
test,120,2.5,0.0,4.0,-0.0040637987945291165,0.0019440408759510142,0.02185446882952325,-0.11620651937818538,6,2124.956549418922
test,120,2.5,0.5,3.0,-0.025106358849081634,-0.00986097558586052,-0.1478862406305189,-0.08692315223123182,16,3219.519355661448
test,120,2.5,0.5,3.5,-0.016454676120828626,-0.005636369393632434,-0.08359018637768643,-0.08520330836552525,9,2298.9366653436955
test,120,2.5,0.5,4.0,-0.009047586631712345,-0.002067262080815535,-0.030590168953444574,-0.08011239837224604,7,2036.3117305140772
test,120,2.5,1.0,3.0,-0.07401106555741033,-0.03492203510250069,-0.7400679678751004,-0.12439642466782908,16,2914.933879570286
test,120,2.5,1.0,3.5,-0.06579338710254645,-0.030803936617032512,-0.6400195624329144,-0.1166258905195563,9,2017.1267629711197
test,120,2.5,1.0,4.0,-0.05875786793016913,-0.027324809666841365,-0.5661527728873715,-0.10997319142940998,7,1762.9663358583703
